,contract_address,contract_url,contract_name,nifty_name,store_url,nifty_date_created,num_pm_sales,num_sm_sales,avg_resale_price,highest_active_bid,lowest_active_ask,sm_market_volume,price
1131,0x9ec85d88b1f5fa6c9036272a2c65d68f7ebc3c8d,https://niftygateway.com/itemdetail/primary/0x9ec85d88b1f5fa6c9036272a2c65d68f7ebc3c8d/1,V. Infinity,V. Infinity,https://niftygateway.com/collections/gavin5452,2020-12-05T00:00:29.600649Z,1,1,190000,0,0,100000,
1132,0xbdd3f8ea1befa8e5adece114bd7f86614f42d777,https://niftygateway.com/itemdetail/primary/0xbdd3f8ea1befa8e5adece114bd7f86614f42d777/1,Flipside+,Flipside+,https://niftygateway.com/collections/lyle3,2020-12-04T19:28:42.124509Z,5,1,550000,15000,0,250000,
1133,0x16a6f9365fe0d62a014b814deeb414982f346bdf,https://niftygateway.com/itemdetail/primary/0x16a6f9365fe0d62a014b814deeb414982f346bdf/1,Brainstorming,Brainstorming,https://niftygateway.com/collections/extraweg2,2020-10-28T00:07:50.023889Z,5,1,270000,700,0,250000,
1134,0x51518f8546edad26169eb8137e6d2488977fcf25,https://niftygateway.com/itemdetail/primary/0x51518f8546edad26169eb8137e6d2488977fcf25/1,Ethereum Tree,Ethereum Tree,https://niftygateway.com/collections/kidmograph,2020-12-04T22:41:37.987353Z,1,1,1200000,2500000,0,180000,
1135,0x22a7ac591ec9414e0547319d2fb9831b4aed6338,https://niftygateway.com/itemdetail/primary/0x22a7ac591ec9414e0547319d2fb9831b4aed6338/1,Afraid to Be Myself,Afraid to Be Myself,https://niftygateway.com/collections/byfewocious2,2020-12-29T22:35:02.784655Z,5,1,25000000,777700,0,5269270,
1136,0x005efb3633638dd0dd336ce671920bccb1ea82bd,https://niftygateway.com/itemdetail/primary/0x005efb3633638dd0dd336ce671920bccb1ea82bd/1,Roads Part 2 ,Roads Part 2 ,https://niftygateway.com/collections/slimesunday2,2021-01-05T18:22:23.157697Z,1,1,999955,0,0,400000,
1137,0x374e4a05e665f25b6c996ec2eeae05c792359821,https://niftygateway.com/itemdetail/primary/0x374e4a05e665f25b6c996ec2eeae05c792359821/1,Mushbloom Pompom,Mushbloom Pompom,https://niftygateway.com/collections/jonburgermangummieauct,2021-03-02T21:18:51.354841Z,10,1,400000,300000,0,2000000,
1138,0xd46cd035e8a68743aeb09572dc1446d46db6bcdd,https://niftygateway.com/itemdetail/primary/0xd46cd035e8a68743aeb09572dc1446d46db6bcdd/1,Dansby Swanson 'OFF-BRAND' #001 - Rare,Dansby Swanson 'OFF-BRAND' #001 - Rare,https://niftygateway.com/collections/micahanddansby,2020-06-18T15:25:08.873212Z,3,1,1000000,25000,0,1050000,1750000.0
1139,0x5d32e097999bd45f86953abe2b3bf11b4b7ef2ee,https://niftygateway.com/itemdetail/primary/0x5d32e097999bd45f86953abe2b3bf11b4b7ef2ee/1,Genesis (Trevor Jones x Jose Delbo) - Still,Genesis (Trevor Jones x Jose Delbo) - Still,https://niftygateway.com/collections/famousnfts,2020-12-18T19:28:27.071596Z,1,1,250000,0,0,150000,
1140,0x93eaa057873ffa2a7494391008f17f456556945d,https://niftygateway.com/itemdetail/primary/0x93eaa057873ffa2a7494391008f17f456556945d/1,Mist of Wonder,Mist of Wonder,https://niftygateway.com/collections/jakubspacek2,2020-10-09T22:17:34.971059Z,1,1,125000,400000,0,123300,
